team,ranking,date
CLE,0.07564757477479336,2021-01-21
DAL,0.11205634995374177,2021-01-21
POR,0.18021819841094222,2021-01-21
SAS,0.20536807639218826,2021-01-21
BKN,0.23708963406441233,2021-01-21
IND,0.2940044415097732,2021-01-21
MEM,0.2967825022918193,2021-01-21
GSW,0.32439495554391423,2021-01-21
BOS,0.3662853635615669,2021-01-21
PHX,0.43388814969029044,2021-01-21
MIL,0.437495075814396,2021-01-21
PHI,0.5268307744590371,2021-01-21
LAL,0.9078942139853724,2021-01-21
LAC,0.9641218934201669,2021-01-21
UTA,0.9760848513231183,2021-01-21
MIN,-1.2481417752953403,2021-01-22
DET,-1.1207147186542696,2021-01-22
WAS,-0.888261911679652,2021-01-22
SAC,-0.7891943349970946,2021-01-22
HOU,-0.6749159309423459,2021-01-22
TOR,-0.4907392006043954,2021-01-22
NOP,-0.4130180379512074,2021-01-22
MIA,-0.32165414150833344,2021-01-22
CHI,-0.2956694153950336,2021-01-22
CHA,-0.20557461605846114,2021-01-22
ORL,-0.19858255006405393,2021-01-22
ATL,-0.09926716482206673,2021-01-22
OKC,-0.025988040818706468,2021-01-22
DEN,0.004814643056592427,2021-01-22
CLE,0.08221185245928753,2021-01-22
DAL,0.11221895134039814,2021-01-22
GSW,0.14720510694272762,2021-01-22
NYK,0.16853126693126316,2021-01-22
POR,0.17694893551795104,2021-01-22
SAS,0.21104089426756467,2021-01-22
BKN,0.23530362874939983,2021-01-22
IND,0.2964138485517666,2021-01-22
MEM,0.3028127247800837,2021-01-22
MIL,0.3043799150206156,2021-01-22
BOS,0.36485479143516353,2021-01-22
PHX,0.43482784579432626,2021-01-22
PHI,0.5313638960171571,2021-01-22
LAC,0.9619045085804002,2021-01-22
LAL,1.0319365174425972,2021-01-22
UTA,1.032543795241661,2021-01-22
MIN,-1.3524945570001046,2021-01-23
DET,-1.272795431899216,2021-01-23
WAS,-0.8962749823100835,2021-01-23
SAC,-0.5938733616586616,2021-01-23
HOU,-0.5204216534274704,2021-01-23
MIA,-0.46335931499622973,2021-01-23
NOP,-0.41880741592959253,2021-01-23
TOR,-0.3655844014029806,2021-01-23
CHA,-0.3530627760756858,2021-01-23
ORL,-0.2882154184858822,2021-01-23
OKC,-0.11499584488615236,2021-01-23
CHI,-0.1144540150557614,2021-01-23
ATL,-0.01859901149884255,2021-01-23
NYK,0.02119374203346325,2021-01-23
SAS,0.06116873342403484,2021-01-23
BKN,0.1181690818376927,2021-01-23
GSW,0.15555557733328468,2021-01-23
DEN,0.19019691823883864,2021-01-23
CLE,0.19345938665608187,2021-01-23
POR,0.19532978742768808,2021-01-23
BOS,0.23274540682321238,2021-01-23
PHX,0.26193272614097396,2021-01-23
DAL,0.27326863497233217,2021-01-23
MIL,0.2875595096570897,2021-01-23
MEM,0.28849020956719185,2021-01-23
IND,0.39081670572792193,2021-01-23
PHI,0.6311251911734858,2021-01-23
UTA,1.0207289764493908,2021-01-23
LAL,1.0301751543950108,2021-01-23
LAC,1.0394579672232602,2021-01-23
DET,-1.3285791102579902,2021-01-24
MIN,-1.1444736482469826,2021-01-24
WAS,-0.8996373453457998,2021-01-24
NOP,-0.608487763469979,2021-01-24
SAC,-0.5912899967173866,2021-01-24
MIA,-0.5629837312797656,2021-01-24
TOR,-0.3867362975609227,2021-01-24
CHA,-0.36393965285211716,2021-01-24
HOU,-0.3181185065562927,2021-01-24
ORL,-0.2839689489750507,2021-01-24
CHI,-0.2054822639676119,2021-01-24
OKC,-0.12038306088300595,2021-01-24
ATL,-0.010272234794167475,2021-01-24
NYK,0.026726676951579886,2021-01-24
SAS,0.07219180977097688,2021-01-24
DAL,0.08625897150093245,2021-01-24
GSW,0.0897259972291314,2021-01-24
PHX,0.10315021487248467,2021-01-24
BKN,0.19418028492527992,2021-01-24
CLE,0.19863492563940044,2021-01-24
POR,0.20263749265404707,2021-01-24
BOS,0.2320116600391187,2021-01-24
MIL,0.27803673581105176,2021-01-24
MEM,0.2975701913957547,2021-01-24
DEN,0.3425413727956878,2021-01-24
IND,0.38026643073640864,2021-01-24
PHI,0.6873231716246397,2021-01-24
LAC,1.0358582464185582,2021-01-24
UTA,1.091504072756045,2021-01-24
LAL,1.1142697862095572,2021-01-24
DET,-1.3254256965873321,2021-01-25
MIN,-1.1467765071178166,2021-01-25
WAS,-1.0031054582291419,2021-01-25
NOP,-0.5983512729696172,2021-01-25
SAC,-0.5856478553102796,2021-01-25
MIA,-0.5556504326061616,2021-01-25
ORL,-0.44045241051239203,2021-01-25
HOU,-0.31897101572897907,2021-01-25
CHA,-0.2142730757817779,2021-01-25
CHI,-0.20991359148504302,2021-01-25
OKC,-0.18665945347707588,2021-01-25
TOR,-0.1835170153608886,2021-01-25
ATL,-0.10964212387890486,2021-01-25
NYK,-0.0722116963109685,2021-01-25
CLE,0.07615845738367102,2021-01-25
DAL,0.09252828661061412,2021-01-25
GSW,0.09943917052116202,2021-01-25
PHX,0.10340595170070105,2021-01-25
SAS,0.14409032162124447,2021-01-25
BKN,0.1861658981569858,2021-01-25
IND,0.19394966974764916,2021-01-25
MEM,0.2973022430622903,2021-01-25
POR,0.3146067495080526,2021-01-25
DEN,0.3408772432888519,2021-01-25
BOS,0.3455700652382659,2021-01-25
MIL,0.37288092881637924,2021-01-25
PHI,0.6845292241314072,2021-01-25
UTA,1.093257750432673,2021-01-25
LAC,1.0966997389022892,2021-01-25
LAL,1.1235593076244932,2021-01-25
MIN,-1.1942793497853423,2021-01-26
DET,-1.0829340281707338,2021-01-26
WAS,-1.0098078293227837,2021-01-26
MIA,-0.6252076786794217,2021-01-26
NOP,-0.5978629628096757,2021-01-26
SAC,-0.5870980703456681,2021-01-26
CHA,-0.34362072148895906,2021-01-26
ORL,-0.3290059911017684,2021-01-26
CHI,-0.32107575202325644,2021-01-26
HOU,-0.3157489937283777,2021-01-26
TOR,-0.28481246715373076,2021-01-26
ATL,-0.11842269743910322,2021-01-26
NYK,-0.07256292528566613,2021-01-26
DAL,-0.03332524804838622,2021-01-26
OKC,-0.009055380878188668,2021-01-26
CLE,-0.0007866098065380634,2021-01-26
PHX,0.11271482650163639,2021-01-26
POR,0.14054843114427165,2021-01-26
SAS,0.14426132082131055,2021-01-26
GSW,0.15176517637057266,2021-01-26
BKN,0.2502665944686948,2021-01-26
IND,0.27983973198222806,2021-01-26
MEM,0.295508571456604,2021-01-26
MIL,0.38121415270242937,2021-01-26
DEN,0.4627575513503747,2021-01-26
BOS,0.4675818531070784,2021-01-26
